ip,port,username,password,protocols,ping,detected,organisation,country,isocode,latitude,longitude,asn,connections,uptime,dateAdded,lastTested,lastSuccess,detection,provider
1.0.132.249,4153,,,"[ProtocolDataType(type=socks4, port=4153, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,12.371199607849121,102.38359832763672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=950, connections=ConnectionAttempts(success=5, fail=5), uptime=50.0%), ora_UK=EndpointServerData(ping=786, connections=ConnectionAttempts(success=2, fail=5), uptime=28.0%), ora_JP=EndpointServerData(ping=615, connections=ConnectionAttempts(success=3, fail=3), uptime=50.0%), ms_HK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=10), uptime=0%))",,"2022-05-29 09:45:20.0","2022-05-29 10:05:34.0",,,
1.0.133.89,4153,,,"[ProtocolDataType(type=socks4, port=4153, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,12.371199607849121,102.38359832763672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=958, connections=ConnectionAttempts(success=2, fail=9), uptime=18.0%), ora_UK=EndpointServerData(ping=762, connections=ConnectionAttempts(success=4, fail=7), uptime=36.0%), ora_JP=EndpointServerData(ping=620, connections=ConnectionAttempts(success=3, fail=7), uptime=30.0%), ms_HK=EndpointServerData(ping=807, connections=ConnectionAttempts(success=3, fail=11), uptime=21.0%))",,"2022-05-29 09:18:05.0","2022-05-29 10:02:33.0",,,
1.0.133.100,51327,,,"[ProtocolDataType(type=socks4, port=51327, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,12.371199607849121,102.38359832763672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=957, connections=ConnectionAttempts(success=2, fail=5), uptime=28.0%), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=7), uptime=0%), ora_JP=EndpointServerData(ping=610, connections=ConnectionAttempts(success=2, fail=4), uptime=33.0%), ms_HK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=7), uptime=0%))",,"2022-05-29 09:22:12.0","2022-05-29 09:56:04.0",,,
1.0.170.50,80,,,"[ProtocolDataType(type=http, port=80, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=80, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.866700172424316,100.19170379638672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=4116, connections=ConnectionAttempts(success=3, fail=15), uptime=16.0%), ora_UK=EndpointServerData(ping=1532, connections=ConnectionAttempts(success=1, fail=18), uptime=5.0%), ora_JP=EndpointServerData(ping=2098, connections=ConnectionAttempts(success=2, fail=17), uptime=10.0%), ms_HK=EndpointServerData(ping=2324, connections=ConnectionAttempts(success=1, fail=17), uptime=5.0%))",,"2022-05-29 10:04:38.0","2022-05-29 10:05:05.0",,,
1.4.214.148,5678,,,"[ProtocolDataType(type=socks4, port=5678, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.805399894714355,100.67510223388672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=8), uptime=0%), ora_UK=EndpointServerData(ping=765, connections=ConnectionAttempts(success=3, fail=5), uptime=37.0%), ora_JP=EndpointServerData(ping=605, connections=ConnectionAttempts(success=2, fail=8), uptime=20.0%), ms_HK=EndpointServerData(ping=517, connections=ConnectionAttempts(success=2, fail=4), uptime=33.0%))",,"2022-05-29 09:36:52.0","2022-05-29 10:04:05.0",,,
1.9.167.35,60489,,,"[ProtocolDataType(type=socks4, port=60489, tls=true, autoRead=[false])]",,false,"Tmnet, Telekom Malaysia Bhd",Malaysia,MY,3.0608999729156494,101.75240325927734,AS4788,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1029, connections=ConnectionAttempts(success=1, fail=9), uptime=10.0%), ora_UK=EndpointServerData(ping=937, connections=ConnectionAttempts(success=4, fail=5), uptime=44.0%), ora_JP=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=9), uptime=0%), ms_HK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=8), uptime=0%))",,"2022-05-29 08:54:30.0","2022-05-29 09:46:48.0",,,
1.9.167.36,60489,,,"[ProtocolDataType(type=socks4, port=60489, tls=true, autoRead=[false])]",,true,"Tmnet, Telekom Malaysia Bhd",Malaysia,MY,3.0608999729156494,101.75240325927734,AS4788,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1009, connections=ConnectionAttempts(success=1, fail=8), uptime=11.0%), ora_UK=EndpointServerData(ping=914, connections=ConnectionAttempts(success=1, fail=9), uptime=10.0%), ora_JP=EndpointServerData(ping=706, connections=ConnectionAttempts(success=1, fail=9), uptime=10.0%), ms_HK=EndpointServerData(ping=622, connections=ConnectionAttempts(success=2, fail=4), uptime=33.0%))",,"2022-05-29 08:34:27.0","2022-05-29 10:06:18.0",,,
1.10.133.211,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"Shared Dynamic IP Address for Residential Broadband Services",Thailand,TH,18.912900924682617,98.94129943847656,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1056, connections=ConnectionAttempts(success=1, fail=8), uptime=11.0%), ora_UK=EndpointServerData(ping=868, connections=ConnectionAttempts(success=2, fail=6), uptime=25.0%), ora_JP=EndpointServerData(ping=682, connections=ConnectionAttempts(success=1, fail=7), uptime=12.0%), ms_HK=EndpointServerData(ping=619, connections=ConnectionAttempts(success=4, fail=4), uptime=50.0%))",,"2022-05-29 09:35:13.0","2022-05-29 09:57:05.0",,,
1.20.96.30,4153,,,"[ProtocolDataType(type=socks4, port=4153, tls=true, autoRead=[false])]",,true,"TOT Mobile Co LTD",Thailand,TH,15.059800148010254,102.22149658203125,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1029, connections=ConnectionAttempts(success=1, fail=9), uptime=10.0%), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=8), uptime=0%), ora_JP=EndpointServerData(ping=624, connections=ConnectionAttempts(success=2, fail=11), uptime=15.0%), ms_HK=EndpointServerData(ping=562, connections=ConnectionAttempts(success=3, fail=8), uptime=27.0%))",,"2022-05-29 08:35:09.0","2022-05-29 10:04:32.0",,,
1.20.96.164,4153,,,"[ProtocolDataType(type=socks4, port=4153, tls=true, autoRead=[false])]",,true,"TOT Mobile Co LTD",Thailand,TH,15.059800148010254,102.22149658203125,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=6), uptime=0%), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=8), uptime=0%), ora_JP=EndpointServerData(ping=621, connections=ConnectionAttempts(success=1, fail=7), uptime=12.0%), ms_HK=EndpointServerData(ping=555, connections=ConnectionAttempts(success=1, fail=6), uptime=14.0%))",,"2022-05-29 08:27:50.0","2022-05-29 09:43:18.0",,,
