http,https,socks4,socks5
1.1.189.58:8080,1.1.189.58:8080,1.0.132.249:4153,1.13.21.26:33080
1.10.141.220:54620,1.10.141.220:54620,1.0.133.100:51327,1.180.0.162:7302
1.13.21.26:33080,1.13.21.26:33080,1.0.137.61:4153,1.180.49.222:7302
1.32.59.217:47045,1.32.59.217:47045,1.4.195.114:4145,3.19.179.179:8000
1.179.148.9:36476,1.179.148.9:36476,1.4.214.148:5678,3.130.56.109:8000
3.19.179.179:8000,3.19.179.179:8000,1.9.167.35:60489,3.211.17.212:80
3.20.236.208:49205,3.20.236.208:49205,1.9.167.36:60489,5.161.86.206:1080
3.85.7.155:8083,3.85.7.155:8083,1.9.213.114:4153,5.161.93.53:1080
3.130.56.109:8000,3.130.56.109:8000,1.10.140.43:4145,5.161.100.145:1080
3.215.177.148:49205,3.215.177.148:49205,1.10.141.220:54620,5.188.108.243:31535
5.16.0.18:8080,5.16.0.180:8080,1.10.189.133:50855,5.189.186.24:5566
5.16.0.180:8080,5.22.196.30:8080,1.20.95.95:5678,5.189.229.42:1080
5.22.196.30:8080,5.58.33.187:55507,1.20.96.30:4153,8.136.192.43:80
5.58.33.187:55507,5.59.136.230:8080,1.20.137.82:32241,8.209.220.34:80
5.59.136.230:8080,5.131.243.11:8080,1.20.184.75:4153,8.218.69.97:8000
5.131.243.11:8080,5.131.243.252:8080,1.20.220.79:4145,12.151.56.30:80
5.131.243.252:8080,5.167.141.239:3128,1.20.227.66:4145,13.59.58.111:1080
5.167.141.239:3128,5.180.130.90:80,1.20.235.153:5678,14.149.69.217:7300
5.180.130.90:80,5.187.4.253:3128,1.32.57.85:5678,18.184.15.209:9050
5.187.4.253:3128,5.189.186.24:5566,1.32.59.217:47045,18.189.228.38:8000
5.189.186.24:5566,5.189.229.42:1080,1.53.137.84:4145,20.230.193.232:80
5.189.229.42:1080,5.202.191.226:80,1.55.241.4:4145,20.239.2.157:80
5.202.191.226:80,8.218.213.95:10809,1.179.130.201:4153,23.236.65.242:8888
8.218.213.95:10809,14.161.31.192:53281,1.179.147.5:52210,24.249.199.4:4145
14.161.31.192:53281,14.170.154.193:19132,1.179.148.9:36476,24.249.199.12:4145
14.170.154.193:19132,14.248.80.77:8080,1.179.151.165:31948,27.22.85.52:8100
14.248.80.77:8080,18.189.228.38:8000,1.179.173.114:4153,27.116.51.85:6666
18.189.228.38:8000,18.216.72.10:5678,1.179.186.68:1080,27.116.51.119:6667
18.216.72.10:5678,18.222.17.49:49205,1.179.186.70:1080,27.116.51.181:6667
18.222.17.49:49205,24.51.32.59:8080,1.179.186.71:1080,27.128.196.205:7302
24.51.32.59:8080,27.22.85.52:8100,1.186.40.2:39651,27.128.206.18:7302
27.42.168.46:61308,27.42.168.46:61308,1.186.40.9:39651,31.128.248.1:1080
27.72.244.228:8080,27.72.244.228:8080,1.186.40.177:39651,31.128.248.2:1080
27.116.51.85:6666,27.116.51.85:6666,1.186.139.9:39651,35.244.6.175:1080
27.116.51.119:6667,27.116.51.119:6667,1.186.213.67:5678,36.89.86.49:56845
27.116.51.181:6667,27.116.51.181:6667,1.220.145.45:4145,37.18.73.60:5566
27.123.185.38:8080,27.123.185.38:8080,1.221.173.148:4145,39.108.56.233:38080
27.255.58.74:8080,27.255.58.74:8080,2.135.223.134:5678,39.175.75.5:30001
31.3.169.53:8081,31.3.169.53:8081,3.141.13.98:5678,39.175.75.8:30001
31.161.38.233:8090,31.161.38.233:8090,3.211.17.212:80,39.175.92.205:30001
31.220.183.217:53281,31.220.183.217:53281,5.8.240.90:4153,42.194.130.58:10808
34.94.137.131:80,34.94.137.131:80,5.8.240.94:4153,42.201.253.115:1080
34.229.130.62:49205,34.229.130.62:49205,5.44.254.40:4145,43.128.36.71:3389
34.230.89.25:49205,34.230.89.25:49205,5.58.33.187:55507,43.129.77.148:3001
36.37.91.98:9812,36.37.91.98:9812,5.58.47.25:3629,43.129.95.244:8080
36.37.180.59:65205,36.37.180.59:65205,5.58.53.216:1085,43.129.207.123:3001
36.66.19.10:8080,36.66.19.10:8080,5.83.93.163:4153,43.129.243.128:3001
36.66.172.121:39810,36.66.172.121:39810,5.135.24.186:808,43.132.203.188:57890
36.67.11.41:8080,36.67.11.41:8080,5.160.39.218:3629,43.135.74.226:38081
36.67.27.189:39674,36.67.27.189:39674,5.160.39.219:3629,43.135.154.94:21127
36.67.151.11:80,36.67.151.11:80,5.161.93.53:1080,43.224.8.12:6667
36.67.168.117:80,36.67.168.117:80,5.172.188.90:5678,43.224.8.14:6666
36.67.237.146:3128,36.67.237.146:3128,5.172.188.92:5678,43.224.8.124:6667
36.89.252.155:8080,36.89.252.155:8080,5.172.188.93:5678,43.224.10.19:6667
36.91.45.10:51672,36.91.45.10:51672,5.178.217.227:31019,43.224.10.22:6666
36.91.98.115:8181,36.91.98.115:8181,5.180.100.24:5678,43.224.10.23:6667
36.91.108.138:3128,36.91.108.138:3128,5.188.64.79:5678,43.224.10.26:6667
36.91.108.141:3128,36.91.108.141:3128,5.188.108.243:31535,43.224.10.30:6667
36.91.108.142:3128,36.91.133.49:10000,5.189.186.24:5566,43.224.10.31:6666
36.91.133.49:10000,36.91.148.37:8080,5.189.229.42:1080,43.224.10.32:6666
36.91.148.37:8080,36.91.166.98:8080,5.201.178.102:5678,43.224.10.33:6667
36.91.166.98:8080,36.92.22.70:8080,5.226.125.10:10801,43.224.10.35:6666
36.92.22.70:8080,36.92.70.209:8080,8.17.28.139:39593,43.224.10.36:6667
36.92.70.209:8080,36.92.85.66:8080,8.39.228.9:39593,43.224.10.37:6666
36.92.85.66:8080,36.92.134.71:999,8.39.228.25:39593,43.224.10.42:6667
36.92.134.71:999,36.93.6.170:8080,8.39.228.33:39593,43.224.10.43:6666
36.93.6.170:8080,36.94.8.23:8080,8.39.228.122:39593,43.224.10.46:6667
36.94.8.23:8080,36.94.17.138:8080,8.39.228.161:39593,43.224.10.48:6667
36.94.17.138:8080,36.94.47.59:4480,8.39.228.170:39593,43.224.10.57:6667
36.94.47.59:4480,36.94.58.26:4480,8.42.68.29:39593,43.251.116.200:8888
36.94.58.26:4480,36.94.58.28:4480,8.42.68.49:39593,45.10.69.113:8888
36.94.58.28:4480,36.94.61.196:4480,8.42.68.93:39593,45.10.70.210:8888
36.94.61.196:4480,36.94.199.131:8080,8.42.68.125:39593,45.88.14.197:8009
36.94.199.131:8080,36.94.253.189:8080,8.42.71.1:39593,45.148.121.228:443
36.94.253.189:8080,36.95.15.146:8080,8.42.71.5:39593,46.19.141.98:9050
36.95.15.146:8080,36.95.15.148:8080,8.42.71.225:39593,46.45.218.80:1080
36.95.15.148:8080,36.95.15.149:8080,8.136.192.43:80,46.101.5.73:47981
36.95.15.149:8080,36.95.34.108:9812,8.218.69.97:8000,47.56.69.11:8000
36.95.34.108:9812,36.95.79.7:5678,12.7.109.227:39593,47.57.188.208:80
36.95.79.7:5678,36.95.116.69:41890,12.11.59.114:1080,47.74.152.29:8888
36.95.116.69:41890,36.95.142.26:8080,12.151.56.30:80,47.74.226.8:5001
36.95.142.26:8080,36.95.147.251:8080,12.187.55.1:39593,47.89.153.213:80
36.95.147.251:8080,36.95.173.178:4153,12.228.137.37:32307,47.92.113.71:80
36.95.173.178:4153,36.255.211.1:55438,13.58.88.184:5678,47.93.239.66:1080
36.255.211.1:55438,37.26.86.206:4145,13.58.223.158:5678,47.102.194.161:22002
37.26.86.206:4145,37.53.103.6:3128,13.59.58.111:1080,47.104.237.35:81
37.53.103.6:3128,37.57.15.43:33761,14.63.1.108:4145,47.108.217.191:8118
37.57.15.43:33761,37.204.157.91:41890,14.99.212.242:5678,47.115.142.217:9999
37.204.157.91:41890,37.232.183.74:53281,14.99.214.169:5678,47.240.226.173:1080
37.232.183.74:53281,37.238.132.158:54190,14.102.19.50:5678,47.242.168.225:51080
37.238.132.158:54190,38.10.246.140:9991,14.102.43.58:9999,47.245.56.108:18181
37.238.132.194:80,38.41.53.144:9090,14.102.64.209:60616,47.252.4.64:8888
38.10.246.140:9991,39.108.56.233:38080,14.142.20.134:4145,47.254.195.78:443
38.10.246.141:9991,40.136.41.6:8080,14.160.3.77:5678,47.254.215.225:443
38.41.53.144:9090,41.33.86.242:8080,14.160.23.139:4145,49.12.156.165:80
38.130.249.129:999,41.60.216.119:23500,14.160.23.254:5678,49.51.69.212:21127
39.108.56.233:38080,41.65.162.75:1981,14.161.17.4:4153,49.51.186.129:21127
40.136.41.6:8080,41.72.203.182:42928,14.232.160.247:10801,49.51.189.171:21127
41.33.86.242:8080,41.75.85.22:8080,14.232.160.252:10801,50.63.165.21:23859
41.60.216.119:23500,41.77.7.234:3129,14.232.161.29:10801,51.15.8.75:3738
41.65.162.75:1981,41.86.251.61:8080,14.232.163.52:10801,51.77.141.29:1081
41.65.236.43:1981,41.161.92.138:8080,14.232.166.150:5678,51.83.140.70:8181
41.72.203.182:42928,41.204.87.90:8080,14.241.170.106:5678,51.83.201.185:3306
41.75.85.22:8080,41.206.36.90:8080,14.241.225.179:5678,51.155.3.184:33427
41.77.7.234:3129,41.215.85.74:8080,14.248.80.34:5678,51.195.102.120:10084
41.86.251.61:8080,41.216.177.34:8080,18.184.15.209:9050,51.255.71.43:1080
41.161.92.138:8080,41.216.178.93:8080,18.216.32.60:5678,52.28.99.91:1080
41.204.87.90:8080,41.220.114.154:8080,18.216.72.10:5678,54.36.108.221:40305
41.206.36.90:8080,41.254.45.128:8080,20.230.193.232:80,54.38.242.224:54779
41.215.85.74:8080,42.194.130.58:10808,20.239.2.157:80,54.39.87.232:39721
41.216.177.34:8080,43.129.223.147:38080,23.236.65.242:8888,58.20.184.187:9091
41.216.178.93:8080,43.135.74.226:38081,24.37.245.42:51056,58.22.60.174:1080
41.220.114.154:8080,43.154.116.249:8118,24.75.156.114:3366,58.215.199.34:7302
41.254.45.128:8080,43.224.8.12:6667,24.88.66.70:64312,59.21.84.108:80
42.194.130.58:10808,43.224.8.14:6666,24.139.149.78:5678,59.47.140.142:7300
43.129.223.147:38080,43.224.10.19:6667,24.234.142.123:31008,60.12.77.43:7300
43.135.74.226:38081,43.224.10.22:6666,24.249.199.4:4145,60.165.35.64:7302
43.154.116.249:8118,43.224.10.23:6667,24.249.199.12:4145,60.191.94.170:7300
43.224.8.12:6667,43.224.10.26:6667,27.42.168.46:61308,60.198.53.23:80
43.224.8.14:6666,43.224.10.30:6667,27.54.150.186:5678,60.215.109.34:7302
43.224.8.124:6667,43.224.10.31:6666,27.72.59.99:5678,60.248.77.66:3000
43.224.10.19:6667,43.224.10.32:6666,27.72.122.228:51067,60.248.77.68:3000
43.224.10.22:6666,43.224.10.33:6667,27.106.84.186:4153,61.7.195.206:44594
43.224.10.23:6667,43.224.10.35:6666,27.115.33.94:4153,61.61.26.181:80
43.224.10.26:6667,43.224.10.36:6667,27.116.51.85:6666,61.79.139.30:80
43.224.10.30:6667,43.224.10.37:6666,27.116.51.119:6667,61.130.151.230:7302
43.224.10.31:6666,43.224.10.42:6667,27.116.51.181:6667,61.135.30.54:7302
43.224.10.32:6666,43.224.10.43:6666,27.123.1.34:4153,61.135.155.82:1080
43.224.10.33:6667,43.224.10.46:6667,27.123.1.36:4153,61.145.158.142:7302
43.224.10.35:6666,43.224.10.48:6667,27.123.1.37:4153,61.178.94.23:7302
43.224.10.36:6667,43.224.10.57:6667,27.123.3.138:4145,62.112.194.224:26057
43.224.10.37:6666,43.225.67.35:53905,27.123.3.139:4145,62.113.115.94:16072
43.224.10.42:6667,43.225.67.39:53905,27.123.3.140:4145,62.128.111.250:443
43.224.10.43:6666,43.228.125.189:8080,27.123.3.141:4145,62.171.166.158:40063
43.224.10.46:6667,43.241.29.201:8080,27.123.4.238:5678,64.227.62.123:80
43.224.10.48:6667,43.243.172.18:84,27.123.223.210:4145,65.38.21.118:80
43.224.10.57:6667,43.243.174.56:83,27.147.144.122:4153,65.108.156.146:8080
43.225.67.35:53905,43.245.205.230:8080,27.147.155.70:52596,66.42.224.229:41679
43.225.67.39:53905,43.249.229.184:35101,27.147.174.107:4673,66.135.227.178:4145
43.228.125.189:8080,43.250.127.98:9001,27.147.241.134:10800,67.201.33.9:25280
43.241.29.201:8080,45.5.57.119:8080,31.3.29.111:4145,67.201.33.10:25283
43.243.172.18:84,45.5.57.122:8080,31.24.205.70:4153,67.210.146.50:11080
43.243.174.56:83,45.5.57.124:8080,31.41.84.40:1099,69.61.200.104:36181
43.245.205.230:8080,45.7.135.233:999,31.41.225.205:45067,70.166.167.38:57728
43.249.229.184:35101,45.7.135.238:999,31.43.63.70:4145,70.166.167.55:57745
43.250.127.98:9001,45.7.178.102:34234,31.170.17.141:4153,72.49.49.11:31034
45.5.57.119:8080,45.65.132.149:8080,31.170.19.1:4153,72.195.34.35:27360
45.5.57.122:8080,45.70.14.58:999,31.170.19.233:4153,72.195.34.41:4145
45.5.57.124:8080,45.70.15.5:8080,31.170.19.237:4153,72.195.34.42:4145
45.7.132.194:999,45.70.15.7:8080,31.172.133.253:4153,72.195.34.58:4145
45.7.135.90:999,45.114.36.33:8080,31.173.113.74:4153,72.195.34.59:4145
45.7.135.233:999,45.120.216.98:12345,31.173.140.183:3629,72.195.34.60:27391
45.7.135.236:999,45.156.29.127:9090,31.173.193.34:5678,72.195.114.169:4145
45.7.135.238:999,45.174.70.18:53281,31.173.251.198:40547,72.195.114.184:4145
45.7.178.102:34234,45.175.160.29:999,31.179.162.78:4153,72.206.181.97:64943
45.65.132.149:8080,45.177.109.197:8080,31.206.38.40:37630,72.206.181.103:4145
45.70.14.58:999,45.177.109.219:999,31.206.38.46:37630,72.206.181.105:64935
45.70.15.5:8080,45.177.109.220:999,31.206.38.49:37630,72.206.181.123:4145
45.70.15.7:8080,45.177.109.221:999,31.206.38.55:37630,72.210.208.101:4145
45.114.36.33:8080,45.189.19.7:8333,31.209.96.173:51688,72.210.252.134:46164
45.120.216.98:12345,45.189.113.63:999,31.209.98.18:51688,72.210.252.137:4145
45.156.29.127:9090,45.189.252.130:999,31.210.225.135:4153,72.217.216.239:4145
45.156.29.131:9090,45.189.252.218:999,31.220.183.217:53281,72.221.164.34:60671
45.173.44.8:999,45.189.253.1:999,31.223.22.23:1080,72.221.172.203:4145
45.173.44.9:999,45.189.253.105:999,35.244.6.175:1080,72.221.196.157:35904
45.174.70.18:53281,45.190.79.192:999,36.37.71.84:5430,72.221.232.155:4145
45.175.160.29:999,45.190.170.0:999,36.37.94.199:5678,77.37.155.85:1080
45.175.239.6:999,45.195.76.114:999,36.37.104.99:34040,77.78.30.209:18500
45.177.109.197:8080,45.224.119.10:999,36.37.107.210:4153,78.38.108.194:1080
45.177.109.219:999,45.224.119.16:999,36.37.146.49:4673,78.46.37.212:49403
45.177.109.220:999,45.224.153.39:999,36.37.153.54:51080,78.46.225.37:19051
45.177.109.221:999,45.225.88.238:8080,36.37.180.59:65205,79.143.30.163:55418
45.189.19.7:8333,45.226.185.2:8080,36.37.202.62:5678,81.17.20.50:35034
45.189.113.63:999,45.228.52.77:999,36.37.251.171:5678,81.22.103.65:80
45.189.252.130:999,45.228.52.79:999,36.66.16.23:5678,81.143.236.200:443
45.189.252.218:999,45.228.52.108:999,36.66.16.133:5678,82.66.106.125:80
45.189.253.1:999,45.230.172.11:8080,36.66.36.251:4153,82.99.204.198:1080
45.189.253.105:999,45.230.172.13:8080,36.66.36.252:4153,82.156.8.92:80
45.190.79.176:999,45.235.46.94:8080,36.66.71.26:5678,82.165.137.115:7061
45.190.79.192:999,45.235.122.180:999,36.66.71.27:5678,85.25.91.141:15333
45.190.170.0:999,45.248.41.216:9812,36.66.151.17:4673,85.133.229.10:1080
45.195.76.114:999,46.8.247.3:50967,36.66.170.25:4153,85.208.252.138:9050
45.224.119.10:999,46.18.202.204:8080,36.66.172.121:39810,89.19.115.55:6655
45.224.119.16:999,46.35.249.189:41419,36.66.192.35:38420,89.248.174.40:8118
45.224.153.39:999,46.99.146.221:8080,36.66.203.163:5678,91.107.1.17:1080
45.225.88.238:8080,46.99.146.232:8080,36.67.8.27:5678,91.121.42.14:1081
45.226.185.2:8080,46.105.35.193:8080,36.67.14.151:5678,91.121.210.56:61946
45.228.52.77:999,46.161.195.102:1981,36.67.27.189:39674,91.134.139.238:3080
45.228.52.79:999,46.161.195.105:1981,36.67.88.77:4153,91.135.80.66:33427
45.228.52.108:999,46.191.235.167:443,36.67.146.37:5678,91.142.172.7:41890
45.230.172.11:8080,46.209.131.246:8080,36.67.199.163:5678,91.151.88.130:80
45.230.172.13:8080,46.249.123.169:6565,36.67.223.231:5678,91.191.173.74:1080
45.235.46.94:8080,47.51.51.190:8080,36.71.8.15:4153,91.200.115.49:1080
45.235.122.180:999,47.108.217.191:8118,36.78.210.176:4145,91.202.230.219:8080
45.248.41.216:9812,49.156.42.188:5678,36.84.59.53:4145,91.224.168.22:8080
46.8.247.3:50967,49.248.32.110:48434,36.89.10.51:44268,92.202.16.197:80
46.18.202.204:8080,50.193.36.173:8080,36.89.11.81:5678,93.190.141.62:9050
46.35.249.189:41419,50.195.227.153:8080,36.89.17.227:1080,95.0.206.51:10820
46.99.146.221:8080,50.233.42.98:30717,36.89.74.140:5678,95.161.151.238:1080
46.99.146.232:8080,50.250.56.129:48380,36.89.85.49:5678,95.217.15.135:55699
46.105.35.193:8080,51.15.8.75:3738,36.89.85.249:5678,95.217.27.5:2223
46.161.195.102:1981,51.68.82.156:8118,36.89.156.211:4145,95.217.144.183:44965
46.161.195.105:1981,51.77.141.29:1081,36.89.183.77:31802,97.74.230.87:31365
46.191.235.167:443,51.178.195.49:8080,36.89.246.187:4145,98.162.25.4:31654
46.209.131.246:8080,52.91.171.186:49205,36.91.45.10:51672,98.162.25.7:31653
46.249.123.169:6565,58.27.255.98:8080,36.91.190.61:5678,98.162.25.23:4145
47.51.51.190:8080,58.147.186.226:3127,36.92.9.75:49420,98.162.25.29:31679
47.108.217.191:8118,59.98.4.70:8080,36.92.36.42:4153,98.162.96.41:4145
49.12.156.165:80,59.120.147.82:3128,36.92.77.241:5678,98.162.96.52:4145
49.156.42.188:5678,61.7.141.30:8080,36.92.96.178:5678,98.162.96.53:10663
49.248.32.110:48434,61.7.159.133:8081,36.92.138.51:5678,98.170.57.231:4145
50.193.36.173:8080,61.8.77.3:8088,36.92.165.201:5678,98.175.31.195:4145
50.195.227.153:8080,61.19.145.66:8080,36.92.177.9:1081,98.178.72.21:10919
50.233.42.98:30717,61.135.155.82:1080,36.92.177.53:5678,98.188.47.132:4145
50.250.56.129:48380,61.153.251.150:22222,36.93.16.226:4145,98.188.47.150:4145
51.15.8.75:3738,61.213.108.10:9080,36.93.38.173:4153,101.42.102.65:11067
51.68.82.156:8118,61.216.156.222:60808,36.95.4.169:5678,101.71.154.251:1080
51.77.141.29:1081,61.216.185.88:60808,36.95.29.211:5678,103.21.163.76:6666
51.79.142.230:38414,61.247.50.179:8080,36.95.53.185:5678,103.60.161.2:80
51.178.195.49:8080,62.69.212.197:8090,36.95.79.7:5678,103.68.194.148:8888
51.195.211.154:8080,62.89.31.84:81,36.95.84.225:5678,103.81.84.120:8088
52.28.99.91:1080,62.112.118.14:8080,36.95.116.69:41890,103.90.231.93:52174
52.91.171.186:49205,62.113.115.94:16072,36.95.132.253:5678,103.117.192.14:80
58.27.255.98:8080,62.182.94.173:9812,36.95.142.26:8080,103.120.135.229:33427
58.147.186.226:3127,62.182.114.164:59623,36.95.154.11:5678,103.127.1.130:80
59.98.4.70:8080,62.201.212.214:8080,36.95.154.43:5678,103.159.221.135:5678
59.120.147.82:3128,64.139.79.35:8080,36.95.158.197:5678,103.197.251.202:80
61.7.141.30:8080,64.227.6.0:4003,36.95.173.178:4153,103.209.64.19:6666
61.8.77.3:8088,65.20.191.201:80,36.95.189.165:5678,103.209.65.12:6667
61.19.145.66:8080,66.181.164.125:4673,36.95.210.67:5678,103.216.82.18:6666
61.135.155.82:1080,67.205.128.38:3128,36.95.235.18:3629,103.216.82.19:6667
61.153.251.150:22222,68.64.250.38:8080,36.95.235.19:3629,103.216.82.20:6667
61.213.108.10:9080,68.183.185.62:80,36.95.245.81:5678,103.216.82.37:6666
61.216.156.222:60808,69.160.7.58:8080,36.95.245.95:5678,103.231.78.36:80
61.216.185.88:60808,71.25.47.187:8080,36.255.61.190:4145,103.233.82.158:1080
61.247.50.179:8080,75.119.141.2:5566,36.255.86.170:4145,103.240.160.21:6666
62.3.30.25:8080,77.28.97.34:48458,36.255.104.9:1080,103.240.168.138:6666
62.69.212.197:8090,77.37.155.85:1080,36.255.104.17:1080,103.241.182.97:80
62.112.118.14:8080,77.52.187.199:10000,36.255.211.1:55438,103.241.227.98:6667
62.113.115.94:16072,77.105.45.19:6666,37.17.53.108:3629,103.241.227.100:6666
62.182.94.173:9812,77.233.5.68:55443,37.18.73.60:5566,103.241.227.107:6666
62.182.114.164:59623,77.236.236.44:8080,37.25.127.85:1080,103.241.227.108:6666
62.201.212.214:8080,77.236.238.33:1256,37.26.86.206:4145,103.241.227.110:6667
64.139.79.35:8080,77.236.243.39:1256,37.26.136.224:4153,103.250.158.21:6667
64.227.6.0:4003,77.242.21.186:8081,37.57.15.43:33761,103.250.166.4:6667
65.20.191.201:80,78.25.145.146:8080,37.57.40.167:4145,103.250.166.12:6667
66.181.164.125:4673,78.30.230.117:50932,37.98.218.137:5678,103.250.166.17:6666
67.205.128.38:3128,78.47.223.55:5566,37.98.231.12:1080,103.251.214.167:6666
68.64.250.38:8080,78.47.227.89:8118,37.99.254.217:5678,103.251.225.16:6667
